Protein,log2FC,t_p,w_p,n_pairs,t_fdr,w_fdr,changed,strict,direction
RNASET2,0.03653000000000001,0.697497282822519,0.232421875,10,0.8527062542451571,0.4942961961440985,False,False,up
OSBPL2,-0.037910000000000006,0.6983196223342044,0.921875,10,0.8527062542451571,0.9771010014435222,False,False,down
MAGED1,-0.10640000000000008,0.6985649406478189,0.9453125,8,0.8527062542451571,0.987685098719317,False,False,down
IVD,-0.08376666666666664,0.6988092988574142,0.734375,9,0.8527062542451571,0.8768321349557522,False,False,down
PRKD2,0.10297499999999998,0.6988283377036741,0.84375,8,0.8527062542451571,0.9341218797010155,False,False,up
ORM1,0.009910000000000002,0.6988917455069499,0.76953125,10,0.8527062542451571,0.8933254076086956,False,False,up
ANXA1,-0.047699999999999965,0.6991204154655561,0.6953125,10,0.8527062542451571,0.8562401729559749,False,False,down
TRAF3,-0.04678,0.6998202545337315,0.431640625,10,0.8527344572499045,0.6793829129823151,False,False,down
TGM2,0.08704444444444442,0.6998254518424354,0.91015625,9,0.8527344572499045,0.9771010014435222,False,False,up
AIDA,0.11478749999999999,0.700014564667865,0.7421875,8,0.8527344572499045,0.8768321349557522,False,False,up
TTN,-0.06806249999999996,0.7013429876544197,0.640625,8,0.853788648925496,0.8251221333979328,False,False,down
CD200R1,0.024862500000000023,0.7014613584804977,0.546875,8,0.853788648925496,0.7765451147426982,False,False,up
TDGF1,-0.1763,0.7019311351385654,0.91015625,9,0.8539050679540917,0.9771010014435222,False,False,down
DTNB,0.053099999999999994,0.7021384879499938,0.625,10,0.8539050679540917,0.8251221333979328,False,False,up
ITGB7,0.026179999999999974,0.7025896207681039,0.4921875,10,0.8541000480943383,0.7318068024861878,False,False,up
CPOX,0.047179999999999986,0.7036778517567295,0.6953125,10,0.854439107531307,0.8562401729559749,False,False,up
AKR1C4,0.11155555555555556,0.7037295076332746,0.91015625,9,0.854439107531307,0.9771010014435222,False,False,up
CD101,-0.025299999999999996,0.7037413010276581,0.845703125,10,0.854439107531307,0.9341218797010155,False,False,down
RAB6A,0.13348749999999995,0.7041504479863905,0.9453125,8,0.8545825891471194,0.987685098719317,False,False,up
APOD,0.02364,0.7047003446692057,0.6953125,10,0.8548890273212535,0.8562401729559749,False,False,up
C9,-0.1022666666666666,0.7049850950534817,1.0,9,0.8548890273212535,1.0,False,False,down
LGALS4,-0.034140000000000024,0.7053010929849095,0.845703125,10,0.8549192365235986,0.9341218797010155,False,False,down
SLC9A3R2,-0.08658000000000002,0.7078755043408593,0.921875,10,0.8576857905318086,0.9771010014435222,False,False,down
PROS1,-0.016949999999999986,0.7099186007516123,0.6953125,10,0.8598065692402002,0.8562401729559749,False,False,down
DDX53,-0.1119125,0.7103731522332186,0.9453125,8,0.8600024518173797,0.987685098719317,False,False,down
MRPL28,-0.06042222222222222,0.7118452111261973,0.65234375,9,0.8606979499919976,0.8251221333979328,False,False,down
