Protein,log2FC,t_p,w_p,n_pairs,t_fdr,w_fdr,changed,strict,direction
RBP7,0.3181999999999999,0.3031363719587752,0.4921875,10,0.9898389461302447,0.986577545700309,False,False,up
ATRAID,0.14299999999999996,0.3032922690394318,0.322265625,10,0.9898389461302447,0.97517578125,False,False,up
TIMP1,0.1296,0.3036486864274967,0.375,10,0.9898389461302447,0.97517578125,False,False,up
DNAJB1,-0.47492999999999996,0.3040359155023125,0.375,10,0.9898389461302447,0.97517578125,False,False,down
LRRC38,-0.4211999999999999,0.30444743186885687,0.375,7,0.9898389461302447,0.97517578125,False,False,down
PMVK,-0.60945,0.30475144963370476,0.25,8,0.9898389461302447,0.97517578125,False,False,down
STAT5B,-0.45369000000000004,0.305064865250529,0.4921875,10,0.9898389461302447,0.986577545700309,False,False,down
VTA1,-0.36611000000000005,0.3051765144146634,0.322265625,10,0.9898389461302447,0.97517578125,False,False,down
FXN,-0.39522999999999997,0.30579985293775364,0.232421875,10,0.9898389461302447,0.97517578125,False,False,down
GBP2,-0.5784444444444445,0.30597288890063384,0.42578125,9,0.9898389461302447,0.97517578125,False,False,down
OPLAH,-0.17971111111111115,0.3060629489055029,0.30078125,9,0.9898389461302447,0.97517578125,False,False,down
EIF4B,-0.4463777777777778,0.30619620681958304,0.203125,9,0.9898389461302447,0.97517578125,False,False,down
SORD,-0.22021999999999994,0.3062479346121152,0.375,10,0.9898389461302447,0.97517578125,False,False,down
KRT8,-0.38917499999999994,0.306299273775232,0.3125,8,0.9898389461302447,0.97517578125,False,False,down
PLCB1,0.13131111111111107,0.30648353335372525,0.1640625,9,0.9898389461302447,0.97517578125,False,False,up
GHR,0.10468888888888889,0.3069780680448058,0.30078125,9,0.9898389461302447,0.97517578125,False,False,up
HRG,0.19366,0.3070684048067116,0.431640625,10,0.9898389461302447,0.97517578125,False,False,up
FRMD4B,-0.6194111111111112,0.30719170297356874,0.203125,9,0.9898389461302447,0.97517578125,False,False,down
TDO2,-0.22944285714285714,0.3073626599916638,0.578125,7,0.9898389461302447,0.986577545700309,False,False,down
SH3GL3,0.56365,0.30743079319691485,0.25,8,0.9898389461302447,0.97517578125,False,False,up
TSC22D1,-0.1809777777777778,0.30772690304112427,0.49609375,9,0.9898389461302447,0.986577545700309,False,False,down
SELPLG,-0.0719375,0.3079319832834219,0.4609375,8,0.9898389461302447,0.986577545700309,False,False,down
EFEMP1,-0.06498999999999999,0.3082445008830604,0.431640625,10,0.9898389461302447,0.97517578125,False,False,down
S100P,0.20574444444444445,0.30949901594574636,0.65234375,9,0.9898389461302447,0.986577545700309,False,False,up
FAM13A,-0.39805999999999997,0.3096006652037635,0.232421875,10,0.9898389461302447,0.97517578125,False,False,down
PCDH12,-0.1397888888888889,0.3097252250457504,0.30078125,9,0.9898389461302447,0.97517578125,False,False,down
ECSCR,0.22958749999999994,0.30996261678346476,0.546875,8,0.9898389461302447,0.986577545700309,False,False,up
SPON2,0.09731111111111111,0.3106151739507736,0.25,9,0.9898389461302447,0.97517578125,False,False,up
REG1A,-0.07726999999999999,0.31070505072421706,0.375,10,0.9898389461302447,0.97517578125,False,False,down
BAP18,0.27868,0.31091179504108296,0.556640625,10,0.9898389461302447,0.986577545700309,False,False,up
