Protein,log2FC,t_p,w_p,n_pairs,t_fdr,w_fdr,changed,strict,direction
SARG,0.9793500000000002,0.007191238578877524,0.013671875,10,0.15328650089859183,0.14871961805555556,False,False,up
ZBTB16,0.51617,0.007222579993680091,0.009765625,10,0.15328650089859183,0.13723273026315788,False,False,up
AHNAK,-0.29175555555555555,0.007254621595132538,0.0078125,9,0.15328650089859183,0.13723273026315788,False,False,down
FNTA,0.34936,0.0073366448486197455,0.01953125,10,0.15391232800282995,0.17021745178041542,False,False,up
FLT1,0.22141000000000002,0.007552346935919527,0.009765625,10,0.15731377979287697,0.13723273026315788,False,False,up
THBD,0.12742,0.0077875586266482775,0.013671875,10,0.15803095893544367,0.14871961805555556,False,False,up
FYB1,0.71293,0.007890553235303157,0.013671875,10,0.15803095893544367,0.14871961805555556,False,False,up
GZMH,0.3716,0.007950344882348515,0.013671875,10,0.15803095893544367,0.14871961805555556,False,False,up
CD4,0.3289875,0.008045477536569288,0.0390625,8,0.15803095893544367,0.22062800480769232,False,False,up
CLIP2,1.19785,0.00816710165752205,0.0078125,8,0.15803095893544367,0.13723273026315788,False,False,up
TFF2,0.18616000000000002,0.008168611047797756,0.009765625,10,0.15803095893544367,0.13723273026315788,False,False,up
SERPINB8,-0.17297,0.008216263828055782,0.013671875,10,0.15803095893544367,0.14871961805555556,False,False,down
SUSD1,0.5584399999999998,0.008223927559588983,0.009765625,10,0.15803095893544367,0.13723273026315788,False,False,up
DAG1,0.4388599999999999,0.00824185121828492,0.009765625,10,0.15803095893544367,0.13723273026315788,False,False,up
FABP1,0.47706,0.008266172599231214,0.009765625,10,0.15803095893544367,0.13723273026315788,False,False,up
GH1,3.4831900000000005,0.008321222267662678,0.013671875,10,0.15803095893544367,0.14871961805555556,False,False,up
HSPB1,0.8876299999999999,0.008330655336632513,0.009765625,10,0.15803095893544367,0.13723273026315788,False,False,up
KDR,0.12517999999999999,0.008401548668934807,0.01953125,10,0.15803095893544367,0.17021745178041542,False,False,up
ESYT2,0.88202,0.00846211031485845,0.00390625,10,0.15803095893544367,0.12890625,False,False,up
TNFRSF14,0.19657,0.008484457844506592,0.02734375,10,0.15803095893544367,0.19492377123786409,False,False,up
PDLIM7,1.34055,0.0085545368010977,0.009765625,10,0.15803095893544367,0.13723273026315788,False,False,up
PHACTR2,1.1614600000000002,0.00857204288715382,0.009765625,10,0.15803095893544367,0.13723273026315788,False,False,up
IL6__Oncology,0.5085000000000001,0.008599896833080366,0.005859375,10,0.15803095893544367,0.13723273026315788,False,False,up
ERBIN,1.02654,0.008609109101011573,0.005859375,10,0.15803095893544367,0.13723273026315788,False,False,up
CCL17,0.45188000000000006,0.00902488090602157,0.013671875,10,0.16052752465727857,0.14871961805555556,False,False,up
KLRF1,0.185375,0.009128825532740394,0.0078125,8,0.16052752465727857,0.13723273026315788,False,False,up
CETN3,0.5009300000000001,0.00920439817110897,0.013671875,10,0.16052752465727857,0.14871961805555556,False,False,up
LGALS8,0.47903,0.009213411067369068,0.009765625,10,0.16052752465727857,0.13723273026315788,False,False,up
DOK1,1.43348,0.009228002064001428,0.005859375,10,0.16052752465727857,0.13723273026315788,False,False,up
PROK1,0.301125,0.00924505735054026,0.0234375,8,0.16052752465727857,0.19492377123786409,False,False,up
LAT2,1.07673,0.009261344151535685,0.009765625,10,0.16052752465727857,0.13723273026315788,False,False,up
GIPC3,1.07684,0.009290476848971253,0.005859375,10,0.16052752465727857,0.13723273026315788,False,False,up
CDHR5,0.28309,0.009308068624486533,0.009765625,10,0.16052752465727857,0.13723273026315788,False,False,up
IMMT,0.36522000000000004,0.009370755309750484,0.009765625,10,0.16052752465727857,0.13723273026315788,False,False,up
COLEC12,0.13013999999999998,0.009459211569831786,0.009765625,10,0.16052752465727857,0.13723273026315788,False,False,up
OTUD7B,0.52014,0.009482620344768003,0.009765625,10,0.16052752465727857,0.13723273026315788,False,False,up
CMC1,0.6112,0.00953859843066979,0.009765625,10,0.16052752465727857,0.13723273026315788,False,False,up
CTSL,0.19923,0.009543525826404862,0.005859375,10,0.16052752465727857,0.13723273026315788,False,False,up
FCER2,0.12994,0.009624888243434023,0.013671875,10,0.16052752465727857,0.14871961805555556,False,False,up
WASHC3,0.76565,0.009646110731651206,0.005859375,10,0.16052752465727857,0.13723273026315788,False,False,up
PLXNB3,0.34342,0.009773181151425848,0.02734375,10,0.16052752465727857,0.19492377123786409,False,False,up
SYTL4,0.55135,0.009793577110790451,0.001953125,10,0.16052752465727857,0.12204953457446809,False,False,up
SMPDL3A,0.13145,0.009830501146170682,0.013671875,10,0.16052752465727857,0.14871961805555556,False,False,up
AZI2,0.7379200000000001,0.009874960676682127,0.009765625,10,0.16052752465727857,0.13723273026315788,False,False,up
BANK1,0.9280124999999999,0.009948263802751812,0.015625,8,0.16052752465727857,0.16158670774647887,False,False,up
ATP5IF1,0.9746900000000001,0.009949090678180823,0.013671875,10,0.16052752465727857,0.14871961805555556,False,False,up
CXCL3,0.8455499999999999,0.010002225744733395,0.005859375,10,0.16052752465727857,0.13723273026315788,False,False,up
DKK1,0.39855999999999997,0.010122924143340728,0.013671875,10,0.16072888397446275,0.14871961805555556,False,False,up
MSRA,0.50078,0.010172111084800553,0.009765625,10,0.16072888397446275,0.13723273026315788,False,False,up
KLK13,0.17877999999999994,0.010305142244901335,0.009765625,10,0.16072888397446275,0.13723273026315788,False,False,up
KLK15,0.36361999999999994,0.010360420326820616,0.013671875,10,0.16072888397446275,0.14871961805555556,False,False,up
SDC1,0.41807,0.01043449477806517,0.009765625,10,0.16072888397446275,0.13723273026315788,False,False,up
MESD,0.7159800000000001,0.010447378934161656,0.009765625,10,0.16072888397446275,0.13723273026315788,False,False,up
ANXA3,0.59503,0.010490165814284339,0.009765625,10,0.16072888397446275,0.13723273026315788,False,False,up
FKBP14,0.6048800000000001,0.010537414221740145,0.009765625,10,0.16072888397446275,0.13723273026315788,False,False,up
VAV3,1.2892625,0.01058450296002321,0.0078125,8,0.16072888397446275,0.13723273026315788,False,False,up
IRAK1,0.71803,0.010607345547078494,0.005859375,10,0.16072888397446275,0.13723273026315788,False,False,up
GCNT1,-0.25199000000000005,0.010652400454005336,0.013671875,10,0.16072888397446275,0.14871961805555556,False,False,down
SKAP2,1.0774400000000002,0.010686102195797336,0.009765625,10,0.16072888397446275,0.13723273026315788,False,False,up
GSAP,0.2878799999999999,0.010803127774745926,0.02734375,10,0.16072888397446275,0.19492377123786409,False,False,up
MPIG6B,0.8502600000000001,0.010940482294634513,0.013671875,10,0.16072888397446275,0.14871961805555556,False,False,up
ST3GAL1,0.18683999999999998,0.011033204060256417,0.013671875,10,0.16072888397446275,0.14871961805555556,False,False,up
LGMN,0.22047000000000003,0.011044310808847992,0.013671875,10,0.16072888397446275,0.14871961805555556,False,False,up
IL36A,0.8016625,0.011063231403595601,0.015625,8,0.16072888397446275,0.16158670774647887,False,False,up
CTSH,0.62275,0.011069731006754775,0.005859375,10,0.16072888397446275,0.13723273026315788,False,False,up
LDLR,0.18135,0.011078501291766107,0.013671875,10,0.16072888397446275,0.14871961805555556,False,False,up
KIFBP,0.8562800000000002,0.011109282753427286,0.01953125,10,0.16072888397446275,0.17021745178041542,False,False,up
CCL4,0.19371,0.01117631405279595,0.013671875,10,0.1609060508483417,0.14871961805555556,False,False,up
COL1A1,0.11393999999999997,0.011280842435810278,0.009765625,10,0.16161870358036481,0.13723273026315788,False,False,up
CDKN1A,0.68458,0.011430718352342668,0.037109375,10,0.1622402921836582,0.22062800480769232,False,False,up
PDLIM5,1.0693899999999998,0.011585318178704462,0.013671875,10,0.1622402921836582,0.14871961805555556,False,False,up
PFDN6,-0.6874666666666667,0.01158765354675481,0.01953125,9,0.1622402921836582,0.17021745178041542,False,False,down
TMPRSS11D,0.17573000000000003,0.011610276823032667,0.009765625,10,0.1622402921836582,0.13723273026315788,False,False,up
METAP1D,0.7146625,0.011616757779174577,0.0234375,8,0.1622402921836582,0.19492377123786409,False,False,up
DLG4,0.6954100000000001,0.011696247670205188,0.00390625,10,0.1622402921836582,0.12890625,False,False,up
AXIN1,0.6409500000000001,0.01174632276116561,0.015625,8,0.1622402921836582,0.16158670774647887,False,False,up
SMAD5,0.23307000000000003,0.011775802709667032,0.013671875,10,0.1622402921836582,0.14871961805555556,False,False,up
ACAN,0.23047000000000004,0.011821390033130015,0.001953125,10,0.1622402921836582,0.12204953457446809,False,False,up
ASRGL1,0.9680444444444443,0.011878380097561314,0.01171875,9,0.1622641969606399,0.14871961805555556,False,False,up
PSCA,0.30194999999999994,0.011990320965189157,0.01953125,10,0.163035058679447,0.17021745178041542,False,False,up
GPNMB,0.27493,0.012354223416995446,0.01953125,10,0.16720900541804437,0.17021745178041542,False,False,up
MAP2,0.14738,0.012433377251542099,0.01953125,10,0.16732594189368216,0.17021745178041542,False,False,up
ANGPTL7,-0.17727,0.012488294910930698,0.00390625,10,0.16732594189368216,0.12890625,False,False,down
CDKN2D,1.01731,0.01253377841900241,0.02734375,10,0.16732594189368216,0.19492377123786409,False,False,up
SMTN,1.11943,0.012841225414550891,0.009765625,10,0.17065465630106774,0.13723273026315788,False,False,up
VPS4B,0.73471,0.013007409057593023,0.009765625,10,0.17140910703840365,0.13723273026315788,False,False,up
PLSCR3,0.5799,0.013014719397195782,0.009765625,10,0.17140910703840365,0.13723273026315788,False,False,up
ARF6,1.0690000000000002,0.013189980802660439,0.013671875,10,0.1729418465063112,0.14871961805555556,False,False,up
ANXA4,0.40361,0.01335536960703449,0.013671875,10,0.17433209127049018,0.14871961805555556,False,False,up
UNG,0.59625,0.013470542094388614,0.01953125,10,0.1746176492375077,0.17021745178041542,False,False,up
ALDH1A1,-0.39611,0.01349615470783597,0.001953125,10,0.1746176492375077,0.12204953457446809,False,False,down
MGLL,0.8390099999999998,0.013759527881641828,0.009765625,10,0.1768035485593396,0.13723273026315788,False,False,up
LTO1,-0.5115799999999999,0.013829031607729664,0.013671875,10,0.1768035485593396,0.14871961805555556,False,False,down
DRG2,0.29409,0.013845698389052813,0.037109375,10,0.1768035485593396,0.22062800480769232,False,False,up
DYNLT3,0.41868999999999995,0.014004009692951765,0.013671875,10,0.17789045896123193,0.14871961805555556,False,False,up
MZB1,0.18856,0.014051953176372424,0.013671875,10,0.17789045896123193,0.14871961805555556,False,False,up
SFTPD,0.20964,0.014114911894181379,0.009765625,10,0.17792058469189145,0.13723273026315788,False,False,up
YES1,0.9780300000000001,0.01434739026575072,0.009765625,10,0.1800781419252558,0.13723273026315788,False,False,up
EFCAB14,0.16997,0.014476170146969463,0.02734375,10,0.1806437521461935,0.19492377123786409,False,False,up
TBC1D23,0.89968,0.014515466634832028,0.005859375,10,0.1806437521461935,0.13723273026315788,False,False,up
RAB2B,0.59595,0.014998974861027038,0.02734375,10,0.18164572359328598,0.19492377123786409,False,False,up
CEACAM6,0.40166,0.014999689101173726,0.013671875,10,0.18164572359328598,0.14871961805555556,False,False,up
CCL15,-0.19124999999999998,0.015017960468611917,0.02734375,10,0.18164572359328598,0.19492377123786409,False,False,down
IRAG2,1.0242799999999999,0.015087038987694805,0.009765625,10,0.18164572359328598,0.13723273026315788,False,False,up
STX6,0.71021,0.015119051443692145,0.009765625,10,0.18164572359328598,0.13723273026315788,False,False,up
TACC3,0.9592499999999999,0.015138986669288534,0.01953125,10,0.18164572359328598,0.17021745178041542,False,False,up
TSC1,0.5206375,0.015151501574869573,0.0390625,8,0.18164572359328598,0.22062800480769232,False,False,up
HHEX,0.65339,0.015238273229667166,0.01953125,10,0.18164572359328598,0.17021745178041542,False,False,up
RNF43,0.41559999999999997,0.015260542091252473,0.015625,8,0.18164572359328598,0.16158670774647887,False,False,up
ISM2,0.21494999999999997,0.015318016486374356,0.01953125,10,0.18164572359328598,0.17021745178041542,False,False,up
TRIM25,1.0464099999999998,0.015330408734296117,0.013671875,10,0.18164572359328598,0.14871961805555556,False,False,up
GIP,-0.3733333333333333,0.015338147582953668,0.02734375,9,0.18164572359328598,0.19492377123786409,False,False,down
IGHMBP2,0.64181,0.015919663510089565,0.01953125,10,0.18596109776885922,0.17021745178041542,False,False,up
PTPRN2,-0.3843444444444445,0.015969523589929452,0.01171875,9,0.18596109776885922,0.14871961805555556,False,False,down
ITGB1BP2,0.7426400000000001,0.016024278001708962,0.009765625,10,0.18596109776885922,0.13723273026315788,False,False,up
HPSE,0.98044,0.016044424771905076,0.009765625,10,0.18596109776885922,0.13723273026315788,False,False,up
SORT1,0.24534000000000003,0.01610017092416244,0.013671875,10,0.18596109776885922,0.14871961805555556,False,False,up
FGFR4,0.20145000000000002,0.01611580538116096,0.0234375,8,0.18596109776885922,0.19492377123786409,False,False,up
CTSF,-0.23221000000000003,0.01614575414744947,0.048828125,10,0.18596109776885922,0.2502760962041885,False,False,down
STX4,0.74455,0.01632216391857414,0.01953125,10,0.18725857589395412,0.17021745178041542,False,False,up
TBC1D5,0.8660625,0.016488157568847698,0.0078125,8,0.1878600040799987,0.13723273026315788,False,False,up
