protein,contrast,module,MM,GS,score,top_term,top_term_fdr
APRT,PR2/PT2,black,0.935,0.517,0.483,,
DAG1,PR2/PT2,black,0.88,0.548,0.482,Regulation Of Cell Migration,3.7e-11
GYS1,PR2/PT2,black,0.793,0.608,0.482,PI3K-Akt signaling pathway,7.8e-06
ARHGAP45,PR2/PT2,black,0.891,0.54,0.481,Positive Regulation Of GTPase Activity,6.0e-03
EIF4G1,PR2/PT2,black,0.9,0.533,0.48,Positive Regulation Of Protein Phosphorylation,6.5e-08
IRAK1,PR2/PT2,black,0.912,0.526,0.48,Positive Regulation Of Intracellular Signal Transduction,1.1e-12
HSPA1A,PR2/PT2,black,0.912,0.526,0.48,Positive Regulation Of Cytokine Production,3.7e-09
CASP3,PR2/PT2,black,0.894,0.537,0.48,Response To Tumor Necrosis Factor,1.5e-09
GCC1,PR2/PT2,black,0.913,0.525,0.479,,
NUDC,PR2/PT2,black,0.894,0.535,0.479,,
GTPBP2,PR2/PT2,black,0.933,0.512,0.478,,
FABP5,PR2/PT2,black,0.841,0.567,0.477,Positive Regulation Of Multicellular Organismal Process,7.1e-03
STAMBP,PR2/PT2,black,0.932,0.512,0.477,Positive Regulation Of Cell Population Proliferation,1.3e-09
STX4,PR2/PT2,black,0.937,0.508,0.476,Regulation Of Cell Migration,3.7e-11
VTI1A,PR2/PT2,black,0.947,0.501,0.475,SNARE interactions in vesicular transport,1.2e-03
NAP1L4,PR2/PT2,black,0.93,0.511,0.475,,
HIP1R,PT1/PT2,dimgrey,0.707,0.671,0.475,Receptor-Mediated Endocytosis,1.1e-02
PAG1,PR2/PT2,black,0.89,0.533,0.475,Negative Regulation Of T Cell Activation,2.2e-02
TRIM25,PR2/PT2,black,0.921,0.515,0.474,Positive Regulation Of Intracellular Signal Transduction,1.1e-12
CDKN1A,PR2/PT2,black,0.924,0.513,0.474,Positive Regulation Of Cell Population Proliferation,1.3e-09
NDUFB7,PR2/PT2,black,0.808,0.586,0.473,,
TDRKH,PR2/PT2,black,0.934,0.506,0.473,,
TBL1X,PR2/PT2,black,0.925,0.51,0.472,Proteolysis,3.4e-09
EEF1D,PR2/PT2,black,0.932,0.506,0.472,Positive Regulation Of Intracellular Signal Transduction,1.1e-12
DCTN1,PR2/PT2,black,0.943,0.501,0.472,Synapse Organization,7.9e-03
TNFRSF14,PT1/PT2,dimgrey,0.889,0.53,0.471,Cytokine-cytokine receptor interaction,8.5e-08
CRACR2A,PR2/PT2,black,0.914,0.515,0.471,Positive Regulation Of Calcium Ion Transport,2.3e-02
RILPL2,PR2/PT2,black,0.892,0.528,0.471,,
RBPMS2,PR2/PT2,black,0.916,0.512,0.469,Positive Regulation Of Cell Population Proliferation,1.3e-09
BAG6,PR2/PT2,black,0.878,0.534,0.469,Negative Regulation Of Proteolysis,5.5e-04
CNP,PR2/PT2,black,0.935,0.502,0.469,,
CTSO,PT1/PT2,lightgrey,0.788,0.595,0.469,Lysosome,1.4e-07
CTSC,PT1/PT2,lightgrey,0.791,0.591,0.468,Proteolysis,1.7e-15
BRAP,PR2/PT2,black,0.918,0.509,0.467,Ras signaling pathway,5.0e-04
FYB1,PR2/PT2,black,0.89,0.522,0.465,Yersinia infection,3.6e-06
IST1,PR2/PT2,black,0.882,0.526,0.464,Endocytosis,5.9e-03
SPON1,PR2/PT2,black,0.706,0.657,0.464,,
DOK2,PR2/PT2,black,0.903,0.513,0.463,Positive Regulation Of Intracellular Signal Transduction,1.1e-12
HEXIM1,PR2/PT2,black,0.869,0.531,0.462,Positive Regulation Of Intracellular Signal Transduction,1.1e-12
DOK1,PR2/PT2,black,0.903,0.512,0.462,,
TBCB,PR2/PT2,black,0.917,0.503,0.462,,
NEXN,PR2/PT2,black,0.85,0.543,0.462,Regulation Of Cell Migration,3.7e-11
HCLS1,PR2/PT2,black,0.867,0.534,0.462,Positive Regulation Of Intracellular Signal Transduction,1.1e-12
KAZN,PR2/PT2,black,0.906,0.509,0.461,,
RAB11FIP3,PR2/PT2,black,0.887,0.518,0.46,Negative Regulation Of Protein Secretion,1.7e-03
GPI,PR2/PT2,black,0.866,0.531,0.46,Cellular Response To Transforming Growth Factor Beta Stimulus,1.1e-04
MAP2K1,PR2/PT2,black,0.918,0.501,0.46,Positive Regulation Of MAPK Cascade,1.1e-10
YARS1,PR2/PT2,black,0.907,0.508,0.46,Apoptotic Process,8.5e-03
TPD52L2,PR2/PT2,black,0.894,0.514,0.459,,
CNST,PR2/PT2,black,0.893,0.514,0.459,Positive Regulation Of Protein Localization To Plasma Membrane,2.6e-02
ADAM22,PT1/PT2,dimgrey,0.75,0.611,0.458,Proteolysis,1.4e-02
DCTD,PR2/PT2,black,0.901,0.508,0.458,Pyrimidine metabolism,7.0e-03
FSTL3,PT1/PT2,dimgrey,0.779,0.585,0.456,Regulation Of Osteoclast Differentiation,4.5e-02
ESAM,PT1/PT2,dimgrey,0.804,0.567,0.456,Cell adhesion molecules,3.2e-04
TNFAIP2,PR2/PT2,black,0.855,0.533,0.456,Vesicle-Mediated Transport,5.8e-03
TRIM58,PR2/PT2,black,0.89,0.513,0.456,Positive Regulation Of Intracellular Signal Transduction,1.1e-12
SERPINC1,PT1/PT2,lightgrey,0.786,0.578,0.455,Complement and coagulation cascades,1.5e-30
WARS,PT1/PT2,dimgrey,0.832,0.547,0.455,,
P4HB,PR2/PT2,black,0.844,0.537,0.453,Regulation Of Cell Adhesion,1.7e-09
KAZALD1,PT1/PT2,dimgrey,0.716,0.632,0.452,Regulation Of Signal Transduction,3.3e-02
CALCOCO1,PR2/PT2,black,0.902,0.501,0.451,Positive Regulation Of Macromolecule Metabolic Process,5.6e-03
FAM13A,PR2/PT2,black,0.838,0.534,0.448,Regulation Of Intracellular Signal Transduction,2.2e-02
