MM,GS,score,symbol,name,module
0.9057091686279759,0.5090298857408031,0.46103303462109635,KAZN,"kazrin, periplakin interacting protein",impute · PR2_PT2_black
0.9067845366343193,0.5077299474993128,0.46040166517853165,YARS1,tyrosyl-tRNA synthetase 1,impute · PR2_PT2_black
0.8664088586872498,0.5308178048805028,0.4599052484973877,GPI,glucose-6-phosphate isomerase,impute · PR2_PT2_black
0.9175137181539574,0.5011901938664973,0.4598488782767527,MAP2K1,mitogen-activated protein kinase kinase 1,impute · PR2_PT2_black
0.8873656622571702,0.5181705500236597,0.45980675328390697,RAB11FIP3,RAB11 family interacting protein 3,impute · PR2_PT2_black
0.8944103632540605,0.5135190842111201,0.45929679064716045,TPD52L2,TPD52 like 2,impute · PR2_PT2_black
0.8930206152948035,0.5142452072441701,0.4592315713855925,CNST,"consortin, connexin sorting protein",impute · PR2_PT2_black
0.9014635097869597,0.5079127499234728,0.4578648102115601,DCTD,dCMP deaminase,impute · PR2_PT2_black
0.8897617507614061,0.5129778132061797,0.456428037180088,TRIM58,tripartite motif containing 58,impute · PR2_PT2_black
0.8550185521200258,0.5334289081039681,0.4560916126660211,TNFAIP2,TNF alpha induced protein 2,impute · PR2_PT2_black
0.8435060267096293,0.5366889632756717,0.452700374991572,P4HB,prolyl 4-hydroxylase subunit beta,impute · PR2_PT2_black
0.9018646628287865,0.50057151831509,0.45144776358693234,CALCOCO1,calcium binding and coiled-coil domain 1,impute · PR2_PT2_black
0.8728702393417785,0.5136812443813285,0.4483770707285128,DECR1,"2,4-dienoyl-CoA reductase 1",impute · PR2_PT2_black
0.836920380283616,0.5351103395324006,0.44784474885515163,CASP7,caspase 7,impute · PR2_PT2_black
0.8381535686974073,0.5342557343326094,0.4477883503279305,FAM13A,family with sequence similarity 13 member A,impute · PR2_PT2_black
0.8374945874885975,0.5319990841450692,0.44554635352038646,ATOX1,antioxidant 1 copper chaperone,impute · PR2_PT2_black
0.8512609363409223,0.5229684365803071,0.44518260100010043,TALDO1,transaldolase 1,impute · PR2_PT2_black
0.8857293416546635,0.5014687734721057,0.4441656065878198,PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha,impute · PR2_PT2_black
0.7774003709766106,0.565012409084036,0.4392408564283181,DXO,decapping exoribonuclease,impute · PR2_PT2_black
0.8439616840349438,0.5203872692255203,0.43918691608591576,MOCS2,molybdenum cofactor synthesis 2,impute · PR2_PT2_black
0.8369015249659111,0.524316993105905,0.43880169109587297,APPL2,"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2",impute · PR2_PT2_black
0.816869850458216,0.5301901581985887,0.43309635524209905,SNX9,sorting nexin 9,impute · PR2_PT2_black
0.8432297283038703,0.5085595161111417,0.42883250259674577,AKT2,AKT serine/threonine kinase 2,impute · PR2_PT2_black
0.8093971597598326,0.5281746510127225,0.42750306238683844,PSTPIP2,proline-serine-threonine phosphatase interacting protein 2,impute · PR2_PT2_black
0.7274335430010266,0.5641012222085344,0.4103461506823636,GATD3,glutamine amidotransferase class 1 domain containing 3,impute · PR2_PT2_black
