Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,theme
GO_Biological_Process_2023,Negative Regulation Of Apoptotic Process (GO:0043066),42/482,6.668203602941421e-09,3.58492840447538e-07,0,0,2.978937893789379,56.08123258620393,NOTCH2;ITGB1;GRN;NOTCH1;TREM2;PARK7;TRIAP1;MPO;COMP;PRDX5;PTPRZ1;LAMP3;APOE;TXNDC5;CD74;DFFA;ANGPT1;SEMA4D;BDNF;HGF;F2R;PLAUR;AZU1;MERTK;SOD2;DKK1;PRAP1;MMP9;VEGFA;SOD1;FABP1;CD40LG;PROC;AXL;TAX1BP1;HCLS1;ADAM8;ITGA5;GAS6;FXN;LGMN;HSPA1A,
GO_Biological_Process_2023,Positive Regulation Of Protein Kinase B Signaling (GO:0051897),17/93,6.757305524308752e-09,3.58492840447538e-07,0,0,6.833180415380766,128.5501742617907,ITGB1;TGFB1;ANGPT1;CCL21;EGF;IL18;PDGFA;PARK7;AXL;GFRAL;CNTN1;CHI3L1;HCLS1;HPSE;GAS6;ENG;HBEGF,
GO_Biological_Process_2023,Regulation Of Angiogenesis (GO:0045765),25/205,1.3426251419301186e-08,6.997903509797904e-07,0,0,4.274121633672196,77.47295947170386,ITGB1;CD40;ECM1;GRN;SERPINE1;FASLG;PRL;THBS2;CDH5;HHEX;CD34;ANXA3;CD160;TNFSF12;SPINK5;VEGFD;HSPG2;PGF;VEGFA;SMOC2;CXCL10;ANGPTL3;CNTN1;CHI3L1;EPHA1,vascular
GO_Biological_Process_2023,Heterotypic Cell-Cell Adhesion (GO:0034113),10/29,1.3653317033005172e-08,6.997903509797904e-07,0,0,15.948688335258208,288.8193159446984,ITGB1;VCAM1;ITGB2;ITGAV;ITGB7;DSG2;CD58;LILRB2;ITGA5;DSC2,
GO_Biological_Process_2023,Regulation Of Protein Kinase B Signaling (GO:0051896),20/136,1.6018268626434146e-08,8.07320738772281e-07,0,0,5.281133318690973,94.7938925026488,ITGB1;TGFB1;ANGPT1;CCL21;EGF;NTRK3;IL18;SORD;PDGFA;PARK7;AXL;GFRAL;DAG1;CNTN1;CHI3L1;HCLS1;HPSE;GAS6;ENG;HBEGF,
GO_Biological_Process_2023,Negative Regulation Of Blood Coagulation (GO:0030195),10/30,1.9888294217961992e-08,9.85937733034706e-07,0,0,15.150470219435736,268.6653262689504,PROC;SERPINE2;PLAU;SERPINE1;PDGFB;PDGFA;GP1BA;APOE;TFPI;F2,
GO_Biological_Process_2023,Heterophilic Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0007157),12/49,3.720941541196059e-08,1.814859229125304e-06,0,0,9.849566547679755,168.49361951087695,SELP;REG3A;CD164;ALCAM;VCAM1;CD6;CD209;SCARF2;PVR;SCARF1;SELE;ICAM1,
GO_Biological_Process_2023,Positive Regulation Of Vasculature Development (GO:1904018),17/104,3.863925444355816e-08,1.854684213290792e-06,0,0,5.965808696285771,101.83037147164282,ITGB1;CD40;ECM1;GRN;ANXA3;TNFSF12;SERPINE1;VEGFD;PGF;VEGFA;CDH5;SMOC2;CNTN1;ANGPTL3;CHI3L1;EPHA1;CD34,
GO_Biological_Process_2023,Regulation Of Interleukin-8 Production (GO:0032677),15/81,4.3515883438408745e-08,2.056125492464813e-06,0,0,6.924457848628465,117.37052877414952,CD74;SERPINE1;F2R;SSC5D;PARK7;PRG3;PTPRC;CNTN1;CHI3L1;LGALS9;CD14;CD58;TLR3;CD244;HSPA1A,immune
GO_Biological_Process_2023,Endocytosis (GO:0006897),23/189,5.304558105052865e-08,2.4504554335086057e-06,0,0,4.253281927710844,71.25146488905547,ITGB1;ITGAM;CD93;SCARA5;ANXA3;ITGB2;STAB2;HIP1R;MERTK;HSPG2;CORO1A;MESD;IGF2R;AXL;DNER;PECAM1;APOE;CD14;GAS6;SCARF1;MET;LDLR;PDLIM7,
