protein,fc_pre,p_pre,fc_post,p_post,fc_interaction,p_interaction,fdr_pre,fdr_post,fdr_interaction
BSND,0.09808000000000001,0.6393622062042054,0.031044444444444447,0.8325663056271368,-0.04314444444444446,0.8879397327903185,0.8406522906676726,0.9261945497661976,0.9939549333965099
BTLA,-1.53586,0.20806639025853235,0.020099999999999982,0.9676364880598636,1.692566666666667,0.22697478794131745,0.48515797982505404,0.9855505561952468,0.9471774407456163
BTN1A1,0.16927000000000003,0.11554119882769161,-0.04715000000000001,0.6907502182998573,-0.21642,0.2564873835905983,0.3760346551265135,0.8478107380488457,0.9471774407456163
BTNL10,0.04905000000000006,0.8476863074612259,0.1808,0.24652174603293794,0.07674444444444438,0.79774358492434,0.9320742407638779,0.5129468058390734,0.985768737086236
C9orf40,-0.89772,0.09276582707367659,-0.29748,0.3687850167452287,0.60024,0.21459293892280407,0.3316495208313247,0.6414981522779644,0.9471774407456163
CA7,-0.1534375,0.521658240036287,0.048677777777777806,0.8527613544012103,0.37578571428571433,0.34376022723084343,0.7549910882889711,0.9346701611182487,0.9471774407456163
CAPN3,0.15384000000000003,0.09013250504258861,0.052439999999999966,0.6813405226298103,-0.10140000000000005,0.562251020099783,0.3296238050186684,0.8448632587024221,0.9519862693342023
CASP4,0.5422250000000001,0.03713236229697188,-0.40336666666666665,0.2799923873677036,-1.130842857142857,0.025964461079625623,0.24031301255066412,0.552014422937868,0.8143181893514128
CCDC134,0.33065,0.21200972416784256,0.13735,0.5164550044700946,-0.19329999999999997,0.6192878800891464,0.4900744056688603,0.7603129119451166,0.9619401148472417
CCND2,0.24296250000000003,0.6084300067300992,0.6046777777777778,0.05037090219580652,0.10729999999999995,0.8279941247264953,0.821873457004367,0.1981120624515121,0.9897676525572143
CD101,0.08688,0.017561602989198205,-0.025299999999999996,0.7037413010276581,-0.11217999999999999,0.14742019857126828,0.19009204996179166,0.8543768357104378,0.9471774407456163
CD3E,0.029812500000000006,0.8662505998622545,-0.16356666666666664,0.1456631250631451,-0.22242857142857136,0.4442319400635497,0.9415628051776928,0.3841636099062122,0.9471774407456163
CD82,-0.18835,0.4251220523251412,0.0768777777777778,0.6668221698187271,0.32631428571428567,0.4394854704344431,0.6853124768051386,0.8411865757524346,0.9471774407456163
CD86,0.11941000000000002,0.21400009935226533,-0.06334,0.24814599916608798,-0.18275000000000002,0.07181539455631832,0.4931233661936906,0.5137793837561427,0.9151422335713614
CDC123,0.23914999999999997,0.3986231046216814,-0.5519333333333333,0.11946054718939557,-0.7852666666666666,0.1637575536092063,0.6692312465019999,0.3390530971187419,0.9471774407456163
CDC25A,-0.11904,0.6515369884530446,0.021688888888888883,0.9160737156813635,0.1833444444444445,0.6914580115365899,0.8484998546431938,0.9664002070634994,0.96416878874917
CDC26,0.12325999999999997,0.5728449448115088,0.55289,0.023583718393925427,0.42963000000000007,0.027427659027008985,0.7953773383063388,0.1324899433562284,0.8143181893514128
CDC42BPB,0.8727599999999999,0.0193993054066819,1.33698,0.01017402802008522,0.4642200000000001,0.41301127450609953,0.19557345994543107,0.10042271686228481,0.9471774407456163
CDH22,0.1504875,0.36092295902152965,-0.04952222222222221,0.8553333190413396,-0.4988,0.13739618146991137,0.6384055711049091,0.9355805254443245,0.9471774407456163
CDK1,-0.16271999999999992,0.7044147887665924,-0.42961111111111117,0.10968788086189867,0.008411111111111072,0.9835629896541291,0.8777618404745452,0.32161975446333163,0.9952946896706719
CEACAM16,0.10786000000000003,0.07311266193516465,0.04097000000000002,0.5458700725069823,-0.06688999999999998,0.1966287354863698,0.30262011101754716,0.7753329291246601,0.9471774407456163
CEACAM18,0.41771250000000004,0.04644700032608453,-0.3388222222222222,0.058070685923120695,-0.7807857142857142,0.025349218880750986,0.2524872122798022,0.21536352833130887,0.8143181893514128
CEACAM19,0.52098,0.030514900305680628,0.14891000000000004,0.5605786344949637,-0.37207,0.3197156141850103,0.2219128145992319,0.7850238456368939,0.9471774407456163
CEACAM20,-0.24818749999999998,0.4568097884176694,-0.18637777777777778,0.5491973701352377,-0.33197142857142864,0.33776572191582344,0.7047524970652924,0.7766336611095297,0.9471774407456163
CENPF,-0.04365000000000005,0.9260287610142678,0.5441,0.12201546740083069,0.44184285714285726,0.48587689402496714,0.9672511726289355,0.3440320952242232,0.9471774407456163
CENPJ,0.5151,0.17996193352777354,0.5023111111111112,0.18850501069598988,0.011157142857142865,0.9849243469907971,0.455979290793896,0.4458607851829612,0.9952946896706719
CEP152,0.30263000000000007,0.10136171437076746,-0.2546444444444444,0.35658284304294136,-0.5494555555555556,0.12004128556245139,0.3491494819778795,0.6310648883505595,0.9471774407456163
CEP290,0.370075,0.06166831756811032,0.2441888888888889,0.18349502204739307,-0.2671285714285715,0.49041609421920085,0.28140840602979,0.44002396624388834,0.9500051193529192
CEP350,-0.55675,0.0737876987308974,-0.20604444444444436,0.5891372449297465,0.20233333333333337,0.7216273091087446,0.3041153980954954,0.8016229101334497,0.9762572927931781
CETN3,0.5009300000000001,0.00920439817110897,0.7494799999999999,0.01367074547809461,0.24855,0.4248563911109924,0.16058218162856128,0.10780471071221395,0.9471774407456163
CHCHD6,0.19029999999999997,0.04581098855218401,-0.041400000000000006,0.6841149395687754,-0.23169999999999996,0.1704040495349709,0.25123981953796715,0.8448632587024221,0.9471774407456163
CINP,0.18823750000000006,0.4687925765498385,-0.19995555555555555,0.36946297380076454,-0.6174571428571429,0.1706511156881105,0.7117894521464732,0.6421446769804656,0.9471774407456163
CIRBP,1.0091499999999998,0.007053292463352729,1.34146,0.003867543220113945,0.3323100000000001,0.5233890288040307,0.15333869242085896,0.08928843696673039,0.9519862693342023
CLASP1,0.5609400000000001,0.16337655477244825,0.047711111111111086,0.7998742756640934,-0.6365777777777778,0.1770343002843163,0.4351770788045811,0.9094545750391279,0.9471774407456163
CLINT1,-0.12425000000000001,0.6238383084248494,-0.27191111111111116,0.10557869933360871,-0.1000222222222222,0.724566175121605,0.831973195711397,0.3149726972505046,0.9762572927931781
CMIP,0.6132199999999999,0.09277254931184666,0.88796,0.048520893212717665,0.2747400000000001,0.6006061824335103,0.3316495208313247,0.19454989807016096,0.9619401148472417
COL24A1,0.22736000000000006,0.5523517401524871,0.33371000000000006,0.6092228907029352,0.10635000000000012,0.8997169721967189,0.7824539115564162,0.8096620063234375,0.9939549333965099
COL4A4,0.2850125000000001,0.8816876016659823,-0.8988222222222224,0.22063339510136717,-0.8487714285714285,0.6607022541404793,0.9463622057091784,0.4819486355448451,0.9619401148472417
COL9A2,-0.23298750000000001,0.5008315143711728,-0.2851111111111111,0.303285094826905,-0.2351857142857142,0.6816414616744884,0.7386761994088884,0.5756129252833632,0.9619401148472417
COMMD9,-0.16161,0.43641850064213394,-0.10206000000000001,0.5431790494154105,0.05954999999999998,0.7349292935410394,0.6878028604448442,0.7750655887238835,0.9789483843667411
CPLX2,0.02283000000000001,0.9121614386589456,-0.2609666666666667,0.1766369557189158,-0.39359999999999995,0.07719218730721579,0.9605484970537571,0.430671681246618,0.9151422335713614
CREB3,-0.06721999999999999,0.8126093630779041,0.15762222222222227,0.5222271165602933,0.37377777777777776,0.330826318729939,0.9203725168553902,0.7633751010311027,0.9471774407456163
CREBZF,0.17839000000000002,0.3446334023596014,-0.3743222222222222,0.06176506177326001,-0.5628,0.10641061163648965,0.6247929926113861,0.22514361227027035,0.9471774407456163
CTAG1A_CTAG1B,-0.5277,0.1611025583135735,-0.27667777777777774,0.0809515860804388,0.22654285714285716,0.6150156944141212,0.4304231445036629,0.2666320178299655,0.9619401148472417
CWC15,0.06998999999999997,0.30363220929382684,-0.055990000000000005,0.6380906565085449,-0.12598,0.24726067431002696,0.5892237650859379,0.8246641921380339,0.9471774407456163
CYB5A,-0.39896000000000004,0.07941925984279236,-0.13591111111111118,0.6867077136127139,0.244211111111111,0.5628372850019296,0.31273216757642663,0.846078895980009,0.9519862693342023
CYB5R2,0.09588999999999999,0.15620463850864982,0.09182000000000001,0.4494092320095441,-0.004069999999999968,0.9732223102364657,0.4273084059016883,0.7056997988476967,0.994306177352909
CYTH3,-0.10312000000000002,0.7355801132134447,0.1261666666666667,0.6787703028607239,0.21918888888888896,0.6402562761334285,0.8901046283234555,0.8448002584323063,0.9619401148472417
DCDC2C,0.8363399999999999,0.14162112037856792,0.22316666666666668,0.48360942937164675,-0.6206999999999998,0.3893369649568589,0.40591406614067166,0.7301359216309857,0.9471774407456163
DCLRE1C,0.028589999999999983,0.9087743070085671,0.3539111111111111,0.3906885623673656,0.38871111111111106,0.36474851423173826,0.958699789583903,0.6585444614086748,0.9471774407456163
DCUN1D2,0.08830000000000002,0.8027029508219792,-0.22503333333333334,0.5210990282220568,-0.6303111111111112,0.12447630390552489,0.9170689209537646,0.7633751010311027,0.9471774407456163
DDX1,0.40508999999999995,0.1847398894257168,0.0679,0.7832161638617554,-0.33719,0.5032165657381927,0.4620039827509192,0.9012005861394168,0.9519862693342023
DHPS,0.13302000000000003,0.23191762723335338,-0.19982000000000003,0.3415624015195409,-0.3328400000000001,0.15432725863018695,0.5154114892674676,0.6175448219473301,0.9471774407456163
DNAJA1,0.31133,0.2920223246087211,-0.22825555555555554,0.411077418209023,-0.5265111111111112,0.14577011415239044,0.5797037768246098,0.6780591774201841,0.9471774407456163
DNAJB14,0.6103600000000001,0.017467990997956328,0.62945,0.013384511784704805,0.019089999999999996,0.9500544883204115,0.190077620562947,0.10760499143849832,0.9940568131447077
DNAJC9,-0.12977000000000005,0.7327006368425759,0.32979,0.13748256616132598,0.4595599999999999,0.2436614283760498,0.8891674808110236,0.36955515039522024,0.9471774407456163
DNM1,0.9300200000000001,0.0018436008208214858,0.81609,0.0313595441762117,-0.11392999999999995,0.7980462834578099,0.09372185786824531,0.1525402993207119,0.985768737086236
DTNB,0.4441699999999999,0.05163666482692621,0.053099999999999994,0.7021384879499938,-0.39107,0.12538090448471395,0.2628296993355811,0.8538422506610438,0.9471774407456163
DUSP13,0.10426000000000002,0.41314415369965285,-0.18406,0.05202376688869747,-0.28831999999999997,0.050936034606729706,0.6773535287776674,0.20190994335402002,0.9064257716854434
DUT,0.4123799999999999,0.07191678947222685,1.0873,0.004735073008434624,0.67492,0.0994322104613245,0.30141444717461124,0.09387583957661252,0.9471774407456163
DYNC1H1,0.10794,0.49113726453693507,0.018429999999999995,0.8823980361771373,-0.08950999999999998,0.6776818680159736,0.7324676564515306,0.9485859605885216,0.9619401148472417
DYNLT3,0.41868999999999995,0.014004009692951765,0.22978,0.020010198228359977,-0.18891,0.3066431591626189,0.17795102772492322,0.12457787341508601,0.9471774407456163
EDDM3B,-0.015400000000000047,0.8923145672524624,-0.12192,0.4753455208655841,-0.10651999999999995,0.5700708875807717,0.9526236186728687,0.7259873160344614,0.9546950080840595
EFCAB14,0.16997,0.014476170146969463,-6.000000000002115e-05,0.9995347960539984,-0.17003000000000004,0.027381782371206406,0.18070525836074788,0.9995347960539983,0.8143181893514128
EFCAB2,0.31413749999999996,0.10195113017532914,-0.05765555555555557,0.7305688868171869,-0.5804571428571429,0.02447950880220527,0.3502377321587501,0.8728797842492457,0.8143181893514128
EGFLAM,0.15372999999999998,0.08302049102722955,0.15111000000000002,0.07961909438967003,-0.002619999999999986,0.9625194693018397,0.3167716917376629,0.26401907372105027,0.994306177352909
EIF2AK2,0.79055,0.04275038646263982,1.40831,0.005449275527442447,0.6177599999999999,0.2509887652462994,0.2472453453292043,0.0949550061731043,0.9471774407456163
ENDOU,0.27581,0.02480779718288586,0.17174,0.2242409812086099,-0.10407,0.34519619946025304,0.21065117954716372,0.48777265018452015,0.9471774407456163
ENOPH1,0.24067000000000002,0.023697255948539102,-0.046329999999999996,0.7754685279850002,-0.28700000000000003,0.07553158344740318,0.20591960527563152,0.8973322312800042,0.9151422335713614
ENSA,0.36634,0.2652254131333728,0.012520000000000014,0.9635250894758327,-0.3538200000000001,0.37497879531824585,0.5547837750973323,0.9832708276762753,0.9471774407456163
EPGN,0.24476,0.004521439200851078,0.058730000000000004,0.5503918699272536,-0.18603,0.10369770995018532,0.132455724147496,0.7774285162722457,0.9471774407456163
EPN1,0.6069374999999999,0.020299598304822843,-0.2768555555555555,0.280927735535181,-0.8435571428571428,0.03134249709563618,0.19946561812565053,0.5528236349647434,0.818148604207796
ERCC1,0.08297000000000002,0.7481823824922135,-0.27957777777777776,0.20831723568049568,-0.34244444444444444,0.43703138966010824,0.8937681928979407,0.4686340263624015,0.9471774407456163
ERI1,0.14893749999999994,0.4920994756166498,-0.14723333333333333,0.397085317513841,-0.2930142857142857,0.34938018373219987,0.7331583465323109,0.6646299973075186,0.9471774407456163
ERN1,0.09223999999999996,0.4994067782858449,0.21481,0.07098190593488146,0.12257000000000003,0.28396235771764816,0.7376858293634049,0.24391209314231782,0.9471774407456163
ESPL1,0.14129000000000003,0.7047033013567361,0.1178333333333333,0.591508258660313,0.007055555555555494,0.9883203805983876,0.8777618404745452,0.8016229101334497,0.9971446697108732
EVI2B,0.013060000000000006,0.9078493249948822,-0.2627777777777778,0.22429572852256185,-0.24751111111111113,0.28691700462077235,0.9584424708657584,0.48777265018452015,0.9471774407456163
EVPL,0.12242499999999999,0.5445416159572826,-0.28734444444444446,0.3046811473219918,-0.690242857142857,0.07120546712550055,0.7755032805053301,0.5756129252833632,0.9151422335713614
FAM13A,0.5980599999999999,0.05588655430843719,0.99664,0.023795558688417776,0.39857999999999993,0.40220338142170253,0.27116204941000754,0.13291131449918522,0.9471774407456163
FAM171B,0.006200000000000011,0.9417199551019573,-0.12489999999999997,0.4237519414624117,-0.1311,0.3796538973936322,0.9748462983536836,0.6867785638096908,0.9471774407456163
FAM3D,0.027479999999999987,0.709071934426653,0.059230000000000005,0.6126743556568539,0.03175000000000002,0.7487877474933881,0.8790098495128719,0.8123638630844237,0.9807934968107775
FGF7,-0.03579999999999999,0.8697306713928039,0.1939,0.394320507236828,0.12247777777777775,0.6452774589528798,0.9421733947746191,0.6620078001496004,0.9619401148472417
FGF9,0.6318299999999999,0.3162029674666743,0.2918666666666667,0.3570326253773445,-0.3455999999999999,0.6292807333774829,0.6009083560265778,0.6311443161002636,0.9619401148472417
FKBPL,0.14821000000000004,0.379135646288675,0.13860999999999998,0.5314832339554132,-0.009600000000000063,0.971960845272166,0.6514038180094311,0.767742297368757,0.994306177352909
FNTA,0.34936,0.0073366448486197455,-0.28964,0.2118907752995471,-0.639,0.008965043898296256,0.1539647326088915,0.47341072078332275,0.7865420294170457
FOS,-0.25522999999999996,0.3189957697852202,-0.010666666666666639,0.9083228163817407,0.24051111111111112,0.39265286224596696,0.6045935860013507,0.9630647544314523,0.9471774407456163
FUT1,0.18555000000000002,0.3545519181349653,0.15631111111111112,0.5871258331018185,0.2754714285714285,0.4876478122592629,0.6325688412166488,0.8008243721695185,0.9488140876938506
GABARAP,0.35508,0.46513463238498964,-0.13609999999999997,0.4626974760068432,-0.4911800000000001,0.42077657062051577,0.7091673845080952,0.7168067436885659,0.9471774407456163
GABARAPL1,0.20115000000000002,0.3535449368211198,0.030022222222222245,0.8673300458832311,-0.17129999999999998,0.5652038205747172,0.6325472943952005,0.9416909367350086,0.9519862693342023
GAD1,-0.005559999999999976,0.9659169578156203,-0.5745444444444444,0.00881898614576339,-0.6085222222222222,0.012963876995855383,0.9844602464838874,0.09968436135564301,0.8054741543349357
GADD45B,-0.008237500000000023,0.9683303853633736,-0.3225,0.01751675097309057,-0.3963714285714285,0.05964288662767773,0.9854333601336062,0.1171652532369276,0.9064257716854434
GAGE2A,-0.19950000000000004,0.2054142594591431,-0.2709111111111111,0.27278044276865054,-0.0635333333333333,0.8388843033144688,0.4847446540489658,0.544819130424402,0.9911725684990748
